metric,measure,k_fold_i,current__count_above_mean__5,"current__fft_coefficient__attr_""angle""__coeff_22__4","current__fft_coefficient__attr_""abs""__coeff_8__5",current__lempel_ziv_complexity__bins_3__3,"current__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""__3","current__fft_coefficient__attr_""real""__coeff_5__4","current__fft_coefficient__attr_""abs""__coeff_8__3","current__fft_coefficient__attr_""imag""__coeff_41__4","current__fft_coefficient__attr_""imag""__coeff_23__5","current__fft_coefficient__attr_""abs""__coeff_34__6"
f1,std,8,0.0005258450295140858,0.0006136118123024685,0.0011112477907159728,0.0008654893176576466,0.015351195678436399,0.013492076202290966,0.0014505917901197058,0.00034797450231865,0.0,0.0006584067448924812
average_precision,mean,8,0.028810784265591936,0.00684421946808395,0.23858521422147572,-0.00404031646174763,0.16023678499642482,0.36529266085584783,0.018769757862637872,0.017373134195061826,0.0,0.04585492625649945
average_precision,std,8,0.013793204907441363,0.009447530355078435,0.019125593414818728,0.01176856868460482,0.03955033195726487,0.004284041434592133,0.03502826670271895,0.004940488974968852,0.0,0.023196258248011626
balanced_accuracy,mean,8,0.0030388471177944707,0.0026315789473683924,-0.00595238095238099,0.0010025062656641307,-0.12139825369876306,0.16066274557361146,-0.020833333333333363,0.0016604010025062436,0.0,0.003916040100250618
balanced_accuracy,std,8,0.0014697624192656538,0.0017055961890747057,0.0028951165544230427,0.0023768266589462026,0.03590683279030446,0.03051974308282624,0.0034067298200080695,0.000961018900387087,0.0,0.0018494325993916776
accuracy,mean,9,0.15725725725725725,0.009259259259259255,0.10975975975975977,0.012662662662662654,0.13338338338338337,0.15805805805805803,0.058608608608608614,-0.004454454454454448,0.0007007007007007072,0.0
accuracy,std,9,0.013772042282396159,0.005855000236936042,0.006992871484801812,0.003546497244856227,0.009034692563322656,0.011765062472135535,0.007015760298373652,0.0022765896727816033,0.0017221872406491911,0.0
f1,mean,9,0.1867483753688723,0.009280093475361132,0.14049302645479675,0.016285352130630124,0.22150769592613206,0.24648557017717151,0.1013358038183784,-0.005947530981078623,0.0009044479235488771,0.0
f1,std,9,0.01892597092150563,0.008826190992695243,0.013973423334306727,0.004896363733879648,0.015960160300534702,0.016548420169794385,0.014972678227660638,0.0030709201464884798,0.002244041455922385,0.0
average_precision,mean,9,0.15250752689015454,0.05731337526215274,0.1384786427374341,0.01770013207794445,0.21049456936379932,0.2750682421499591,0.1126055195946627,0.00833536611104656,0.007290576312832356,0.0
average_precision,std,9,0.05307748433364953,0.01673759888626565,0.045927370690831935,0.011688174153944315,0.03410590472156363,0.02927280283751384,0.030671125225468856,0.008439312525363884,0.00563785773838367,0.0
balanced_accuracy,mean,9,0.190140553444412,0.0003812238136996937,0.12775260645035563,0.007483192049108437,0.2632453960830166,0.30074296014810487,0.10071981876644252,-0.0023847802786709765,0.0003751339764201426,0.0
balanced_accuracy,std,9,0.032235512356356036,0.008919886839153603,0.024803851469604486,0.003667195443461439,0.025254164576330854,0.02702173813983629,0.023063190832507,0.001218817300701414,0.0009220069953957885,0.0
